city,salary_men,salary_women,population
Roquefort-la-Bédoule,17.0,12.9,5120
Roquevaire,17.7,13.1,8656
Rousset,17.1,13.3,4735
Le Rove,16.0,13.1,4557
Saint-Andiol,13.3,10.7,3179
Saint-Cannat,19.5,13.7,5449
Saint-Chamas,16.1,12.0,7915
Saint-Étienne-du-Grès,16.2,12.1,2240
Saintes-Maries-de-la-Mer,11.3,9.8,2654
Saint-Martin-de-Crau,15.1,11.6,13167
Saint-Mitre-les-Remparts,17.7,12.9,5788
Saint-Rémy-de-Provence,14.6,12.1,9356
Saint-Savournin,16.9,13.4,3197
Saint-Victoret,14.1,11.5,6382
Salon-de-Provence,15.3,12.1,42016
Sausset-les-Pins,20.4,14.9,7559
Sénas,14.7,11.6,6925
Septèmes-les-Vallons,13.9,11.9,10488
Simiane-Collongue,18.8,14.4,5320
Tarascon,13.1,10.4,13612
Le Tholonet,22.4,14.1,2326
Trets,16.7,12.5,10826
Velaux,19.5,14.2,8765
Venelles,19.6,14.2,8166
Ventabren,23.4,15.3,4948
Vitrolles,14.2,11.7,33762
Coudoux,19.7,14.1,3494
Carnoux-en-Provence,16.9,13.5,6525
Argences,13.1,10.9,3595
Aunay-sur-Odon,12.4,10.6,3120
Bayeux,13.0,10.9,13208
Bénouville,17.3,13.3,2266
Bernières-sur-Mer,15.0,11.8,2305
Biéville-Beuville,20.6,15.3,2771
Blainville-sur-Orne,13.3,11.3,5394
Bretteville-l'Orgueilleuse,14.5,12.2,2535
Bretteville-sur-Odon,16.5,13.2,3755
Cabourg,13.8,11.5,3534
Caen,13.8,12.0,100513
Carpiquet,13.6,11.5,2286
Colleville-Montgomery,15.9,12.6,2352
Colombelles,12.0,10.4,6105
Cormelles-le-Royal,14.2,11.6,4612
Courseulles-sur-Mer,12.9,11.6,3922
Cuverville,13.8,11.8,2481
Deauville,14.6,11.4,3560
Démouville,13.7,11.4,3164
Dives-sur-Mer,11.7,10.1,5684
Douvres-la-Délivrande,15.7,12.8,4895
Dozulé,11.0,10.1,1929
Falaise,12.2,10.5,8082
Fleury-sur-Orne,12.9,11.0,4547
Fontaine-Étoupefour,18.0,13.4,2138
Giberville,12.7,10.9,4957
Hermanville-sur-Mer,16.1,12.6,2935
Hérouville-Saint-Clair,12.3,11.1,20676
Honfleur,14.1,11.0,7181
Houlgate,14.8,11.1,1956
Ifs,13.1,11.4,11133
Isigny-sur-Mer,12.3,10.3,2524
Lion-sur-Mer,15.4,12.6,2444
Lisieux,12.2,10.5,19805
Le Molay-Littry,12.1,10.5,2921
Louvigny,15.5,12.5,3903
Luc-sur-Mer,16.5,12.7,2957
Merville-Franceville-Plage,15.3,11.7,2200
Mézidon-Canon,12.0,10.4,4778
Mondeville,12.5,10.9,10000
Moult,12.8,11.7,2104
Orbec,12.4,10.3,2051
Ouistreham,14.8,12.1,9050
Pont-l'Évêque,12.4,10.7,4927
