city,salary_men,salary_women,population
Lorris,14.1,11.5,2787
Loury,15.9,13.1,2444
Marcilly-en-Villette,16.1,13.0,1962
Mardié,15.9,13.4,2531
Meung-sur-Loire,14.3,12.4,5906
Montargis,13.1,11.2,13504
Neuville-aux-Bois,13.9,11.5,4105
Nogent-sur-Vernisson,13.9,11.6,2430
Olivet,18.4,13.9,20790
Orléans,14.6,12.5,111264
Ormes,15.4,13.1,5396
Ouzouer-sur-Loire,18.3,12.4,2715
Pannes,13.9,11.2,3781
Patay,13.3,10.8,1956
Pithiviers,12.6,10.7,8778
Poilly-lez-Gien,15.3,11.6,2260
Puiseaux,13.8,11.4,3244
Saint-Ay,14.8,12.8,3234
Saint-Benoît-sur-Loire,14.2,12.0,1972
Saint-Cyr-en-Val,17.8,14.2,3192
Saint-Denis-de-l'Hôtel,14.6,12.5,2882
Saint-Denis-en-Val,17.7,13.8,7173
Saint-Hilaire-Saint-Mesmin,18.2,14.1,2855
Saint-Jean-de-Braye,14.5,12.6,19489
Saint-Jean-de-la-Ruelle,12.9,11.4,16159
Saint-Jean-le-Blanc,16.9,13.3,8400
Saint-Pryvé-Saint-Mesmin,16.9,13.1,5241
Sandillon,16.0,13.5,3905
Saran,13.8,12.3,15255
Semoy,15.6,14.1,3226
Sully-sur-Loire,14.2,11.5,5150
Tigy,14.2,12.1,2210
Traînou,14.9,13.2,3199
Villemandeur,14.2,11.8,6615
Cahors,12.8,11.2,18880
Figeac,13.6,11.2,9420
Gourdon,12.8,10.5,5342
Gramat,14.0,10.9,3320
Pradines,14.2,11.9,4151
Prayssac,11.5,10.5,2356
Puy-l'Évêque,11.2,10.5,1904
Saint-Céré,13.5,10.9,3296
Souillac,11.8,10.5,3201
Agen,13.0,11.4,31806
Aiguillon,12.0,10.3,3950
Astaffort,12.3,11.0,1940
Bias,12.1,10.8,3737
Boé,13.4,11.4,5311
Bon-Encontre,15.3,12.1,6066
Casseneuil,12.5,10.8,2141
Castelculier,13.6,11.2,2227
Casteljaloux,12.6,10.6,4387
Clairac,12.4,10.6,2441
Colayrac-Saint-Cirq,14.1,10.8,2835
Foulayronnes,15.2,11.9,5123
Fumel,11.5,10.1,4769
Lavardac,12.5,10.1,2161
Layrac,13.5,11.3,3389
Marmande,12.6,10.7,17220
Miramont-de-Guyenne,10.8,9.5,2987
Monflanquin,11.6,11.0,2250
Monsempron-Libos,11.8,10.2,2009
Montayral,12.1,10.3,2745
Nérac,12.5,10.7,6544
Le Passage,13.4,11.2,10014
Penne-d'Agenais,13.6,10.8,1993
Pont-du-Casse,14.2,11.7,4016
Pujols,13.1,11.1,4140
Sainte-Bazeille,12.7,10.0,3025
Sainte-Livrade-sur-Lot,11.2,9.8,6025
Saint-Sylvestre-sur-Lot,12.4,10.7,2219
Tonneins,11.9,10.6,8542
Villeneuve-sur-Lot,12.0,10.6,22472
La Canourgue,12.3,10.9,1829
Langogne,12.1,10.3,2640
Marvejols,11.5,11.0,4387
Mende,12.3,10.7,10922
Saint-Chély-d'Apcher,11.9,10.1,3719
Allonnes,13.1,10.3,13410
Angers,14.0,11.9,144247
Avrillé,16.4,12.7,14236
Baugé-en-Anjou,12.5,10.4,11429
Beaucouzé,15.4,12.3,4882
Bécon-les-Granits,12.9,10.7,2715
Bouchemaine,19.0,13.6,6279
Briollay,15.2,12.4,2790
Brissac-Quincé,13.6,11.3,2911
Candé,12.6,10.2,2726
Cantenay-Épinard,15.5,12.0,1929
Chalonnes-sur-Loire,13.5,11.3,6342
Champigné,11.9,10.5,1967
Châteauneuf-sur-Sarthe,12.2,10.4,3056
Cholet,13.8,11.1,52455
Combrée,11.8,10.2,2742
Doué-la-Fontaine,11.6,10.1,7173
Durtal,12.7,11.1,3310
Écouflant,14.5,11.4,3717
Feneu,13.7,11.7,2139
Gennes,12.1,10.3,665
Juigné-sur-Loire,18.7,13.4,2514
Le Lion-d'Angers,13.0,11.0,4488
Longué-Jumelles,11.7,10.3,6725
Le Louroux-Béconnais,12.3,10.7,2933
Maulévrier,12.6,10.8,3116
Le May-sur-Èvre,12.2,10.2,3840
La Ménitré,12.4,11.3,2056
Montreuil-Juigné,15.0,11.7,7276
Montreuil-Bellay,11.8,10.3,3735
Mozé-sur-Louet,14.2,11.8,2030
Mûrs-Erigné,14.9,11.9,5093
Le Plessis-Grammoire,16.1,12.1,2320
La Pommeraye,12.2,10.2,53
Les Ponts-de-Cé,14.3,12.0,11944
La Possonnière,14.1,12.0,2286
Pouancé,12.5,10.6,2769
Rochefort-sur-Loire,14.2,11.4,2161
Les Rosiers-sur-Loire,13.0,10.8,2290
Saint-Barthélemy-d'Anjou,14.3,11.5,8962
Saint-Christophe-du-Bois,13.1,10.7,2530
Saint-Clément-de-la-Place,13.7,11.2,2110
Sainte-Gemmes-sur-Loire,14.5,12.5,3285
Saint-Georges-sur-Loire,13.4,11.4,3285
Saint-Lambert-la-Potherie,16.1,12.3,2465
Saint-Léger-sous-Cholet,14.1,10.8,2591
Saint-Melaine-sur-Aubance,15.8,12.5,1957
Saumur,13.6,10.8,26110
Segré,12.6,11.1,6579
La Séguinière,14.4,11.0,3900
Seiches-sur-le-Loir,13.0,11.2,2824
Soucelles,14.8,12.4,2558
La Tessoualle,14.1,11.3,2991
Tiercé,14.1,11.4,4223
Torfou,12.6,10.4,255
Trélazé,12.7,11.2,13321
Trémentines,13.1,10.7,2745
Villevêque,15.7,11.8,2768
Vivy,12.1,10.2,2517
Agneaux,15.5,12.2,3930
Agon-Coutainville,16.4,11.9,2745
Avranches,12.4,10.7,7079
Barneville-Carteret,16.5,12.3,2107
Jullouville,16.0,12.2,2261
Brécey,11.9,10.7,1998
Bréhal,14.0,10.9,3071
Brix,14.6,11.6,2055
Condé-sur-Vire,13.3,11.0,3720
Coutances,12.0,11.0,7734
Créances,12.0,10.6,2118
Donville-les-Bains,14.7,11.4,3163
Granville,13.6,11.1,12380
Lessay,12.1,10.3,2048
Marigny,12.7,11.1,1419
Montebourg,11.0,9.8,1960
Percy,12.0,11.0,133
Périers,11.5,10.6,2130
Les Pieux,18.5,13.6,3098
Pontorson,12.0,9.9,4073
Saint-Amand,12.8,11.0,2919
Saint-Hilaire-du-Harcouët,12.0,10.2,5832
Saint-James,12.4,10.5,2505
Saint-Lô,12.9,11.5,18487
Saint-Martin-des-Champs,15.5,12.5,8250
Saint-Pair-sur-Mer,15.9,12.4,3800
Saint-Sauveur-le-Vicomte,12.2,10.8,2045
Urville-Nacqueville,18.4,13.4,2095
Valognes,14.2,11.4,6324
Bétheny,15.6,12.8,6397
Châlons-en-Champagne,13.0,11.2,42088
Cormontreuil,16.4,13.4,5917
Courtisols,15.5,12.3,2410
Dormans,13.7,11.6,2732
Épernay,14.0,11.6,22465
Fagnières,14.2,11.4,4704
Fère-Champenoise,12.8,11.0,2193
Fismes,12.5,11.0,5111
Montmirail,13.1,10.6,3793
Mourmelon-le-Grand,12.3,10.6,4491
Muizon,17.5,12.5,2116
Pargny-sur-Saulx,12.0,10.4,1922
Reims,14.2,12.1,177580
Saint-Brice-Courcelles,14.7,12.2,3370
Saint-Memmie,13.6,11.2,5508
Sainte-Menehould,12.3,10.5,3892
Sarry,16.8,13.3,2323
Sézanne,13.4,11.8,4745
Suippes,11.5,10.6,3152
Taissy,19.1,13.9,2229
Tinqueux,15.4,12.5,9965
Vertus,14.6,11.0,2206
Vitry-le-François,12.1,10.3,12764
Warmeriville,14.9,12.4,2343
Witry-lès-Reims,15.5,12.6,4833
Bourbonne-les-Bains,13.5,10.3,1922
Chalindrey,12.6,10.3,2450
Chaumont,13.2,11.3,22695
Éclaron-Braucourt-Sainte-Livière,12.5,11.7,2080
Joinville,12.4,11.6,3182
Langres,13.0,11.1,7535
Nogent,13.1,10.4,3686
Saint-Dizier,12.4,10.7,24266
Wassy,12.3,10.5,2620
Ambrières-les-Vallées,12.3,10.3,2662
Andouillé,12.7,11.4,2130
Argentré,13.2,10.9,2661
Azé,13.0,10.8,5219
Bonchamp-lès-Laval,15.5,12.2,5709
Changé,16.3,13.1,11467
Château-Gontier,13.3,10.9,11048
Cossé-le-Vivien,12.2,10.2,2932
Craon,12.9,10.8,4311
Entrammes,13.0,11.3,2180
Ernée,11.8,10.5,5471
Évron,12.3,10.6,6726
Le Genest-Saint-Isle,13.7,10.9,2124
Gorron,11.7,9.7,2472
L'Huisserie,14.6,11.7,4058
Lassay-les-Châteaux,12.5,11.2,2162
Laval,14.1,11.5,49021
Louverné,13.6,11.5,4007
Mayenne,13.0,11.3,12628
Meslay-du-Maine,12.2,11.1,2726
Montsûrs,12.7,10.3,1928
Quelaines-Saint-Gault,11.7,10.2,2110
Renazé,11.9,10.0,2518
Saint-Berthevin,14.3,11.6,7198
Saint-Pierre-la-Cour,13.0,10.5,2090
Villaines-la-Juhel,11.5,11.0,2759
Auboué,13.0,10.2,2470
Audun-le-Roman,14.5,10.8,2410
Baccarat,13.4,11.4,4173
Blainville-sur-l'Eau,13.4,11.5,3900
Blénod-lès-Pont-à-Mousson,14.0,10.8,4428
Bouxières-aux-Dames,14.8,12.5,3904
Briey,14.0,11.1,5477
Chaligny,14.5,11.7,2849
Champigneulles,14.0,11.6,6918
Chanteheux,14.5,11.1,2105
Conflans-en-Jarnisy,13.8,10.7,2269
Cosnes-et-Romain,16.4,13.8,2629
Custines,14.1,11.4,2791
Damelevières,13.9,11.3,3043
Dieulouard,13.6,10.9,4572
Dombasle-sur-Meurthe,14.0,11.3,9675
Dommartin-lès-Toul,14.3,11.5,2016
Écrouves,13.4,11.3,3775
Essey-lès-Nancy,14.4,12.1,8209
Fléville-devant-Nancy,18.5,13.8,2265
Foug,12.5,10.5,2609
Frouard,13.4,11.3,6639
Gondreville,16.1,12.8,3313
Haucourt-Moulaine,13.1,10.7,3025
Heillecourt,17.3,13.7,5533
Herserange,12.0,10.4,4113
Homécourt,12.9,10.1,6034
Houdemont,18.7,13.5,2190
Hussigny-Godbrange,13.7,11.2,3553
Jarny,13.2,10.8,8126
Jarville-la-Malgrange,13.1,11.5,8976
Joeuf,12.8,10.1,6498
Laneuveville-devant-Nancy,15.0,12.0,6129
Laxou,15.7,13.1,13424
Lay-Saint-Christophe,19.6,14.8,2340
Lexy,14.4,11.5,3333
Liverdun,14.7,12.2,5750
Longlaville,13.0,10.1,2260
Longuyon,12.4,10.3,5240
Longwy,12.3,10.3,13952
Ludres,16.9,13.2,6207
Lunéville,12.5,10.7,18654
Malzéville,15.3,12.6,7730
Maxéville,12.6,10.9,8396
Mexy,15.3,10.9,2129
Mont-Saint-Martin,11.9,10.6,7793
Nancy,15.3,12.7,99530
Neuves-Maisons,13.1,11.2,6690
Pagny-sur-Moselle,14.3,11.6,4024
Pompey,12.7,10.8,4386
Pont-à-Mousson,14.1,11.5,14397
Pulnoy,15.7,12.5,4247
Réhon,13.0,10.8,3850
Richardménil,16.2,13.8,2319
Rosières-aux-Salines,14.3,11.7,2466
Saint-Max,14.5,12.5,9486
Saint-Nicolas-de-Port,13.5,11.7,7150
Saulxures-lès-Nancy,16.4,12.8,4127
Seichamps,14.9,12.3,4667
Tomblaine,13.7,11.5,8130
Toul,12.8,10.8,15204
Trieux,13.8,10.7,2507
Tucquegnieux,13.9,10.5,2515
Valleroy,14.8,11.4,2518
Vandoeuvre-lès-Nancy,13.3,11.3,28464
Varangéville,12.9,11.4,3712
Villers-lès-Nancy,17.1,13.9,13533
Villerupt,13.3,9.7,9294
Ancerville,13.3,11.0,2919
Bar-le-Duc,13.0,11.0,14773
Belleville-sur-Meuse,12.7,11.0,3055
Bouligny,12.1,10.8,2590
Commercy,12.4,10.8,5527
Étain,12.3,9.9,3544
Fains-Véel,14.5,11.9,1985
Ligny-en-Barrois,12.9,11.2,3887
Montmédy,12.8,10.4,1902
Revigny-sur-Ornain,12.5,10.7,2880
Saint-Mihiel,13.7,11.5,3649
Stenay,12.7,10.1,2538
Thierville-sur-Meuse,13.2,10.7,2485
Vaucouleurs,12.5,10.5,1853
Verdun,12.9,10.9,17686
Allaire,13.0,11.0,3541
Arradon,18.5,13.7,5308
Arzon,13.1,11.4,2075
Auray,13.1,11.2,12796
Baden,18.0,12.9,4367
Baud,12.6,10.7,6074
Belz,13.2,10.9,3491
Bignan,12.0,10.3,2741
Brech,13.9,11.6,6324
Bréhan,13.1,11.0,1994
Camors,12.5,10.8,2945
Carentoir,11.9,10.7,2614
Carnac,14.4,11.5,4095
Caudan,13.7,11.6,6264
Cléguer,12.9,11.0,3267
Cléguérec,12.2,11.0,2759
Colpo,12.6,11.2,2095
Crach,14.1,11.4,3172
Elven,12.9,11.0,5503
Erdeven,13.0,11.4,3380
Étel,14.5,11.4,1844
Le Faouët,12.1,10.8,2988
Férel,13.6,10.5,2955
La Gacilly,12.6,10.8,1953
Gestel,14.6,11.2,2594
Gourin,11.7,10.6,3809
Grand-Champ,12.9,11.1,4948
Groix,12.3,10.0,2102
Guégon,12.3,10.7,2236
Guer,12.8,11.2,5799
Guidel,16.6,12.2,11038
Guiscriff,11.6,10.3,2173
Hennebont,13.3,10.9,15072
Inguiniel,11.6,10.3,2036
Inzinzac-Lochrist,12.6,10.7,6277
Josselin,12.4,10.5,2045
Kervignac,14.0,11.7,6433
Landaul,13.3,10.9,2201
Landévant,12.8,10.8,3495
Lanester,12.5,10.8,21270
Languidic,12.4,10.8,7439
Larmor-Plage,23.1,14.1,8020
Locminé,12.3,10.5,3982
Locmiquélic,13.7,11.3,4008
Locoal-Mendon,13.2,11.0,3213
Lorient,13.3,11.2,56619
Malansac,11.7,10.8,2152
Malestroit,13.6,11.4,2216
Marzan,13.0,10.3,2212
Mauron,11.7,10.8,3022
Merlevenez,12.7,10.7,3083
Meucon,14.0,11.0,2152
Monterblanc,13.3,11.2,3091
Moréac,12.1,10.4,3651
Muzillac,13.1,11.2,4802
Nivillac,13.3,10.9,4287
Noyal-Muzillac,11.9,9.9,2416
Noyal-Pontivy,13.1,10.9,3542
Le Palais,11.5,10.2,2314
Péaule,12.2,10.6,2520
Plescop,13.6,11.5,5654
Ploemel,13.6,10.8,2771
Ploemeur,17.0,12.4,16864
Ploeren,15.0,12.2,6382
Ploërmel,13.2,11.1,8940
Plouay,12.5,10.9,5287
Plougoumelen,15.5,12.8,2365
Plouharnel,13.2,11.2,1997
Plouhinec,14.1,11.2,9191
Plumelec,11.6,10.4,2600
Pluméliau,12.5,10.6,3440
Plumelin,12.5,10.6,2472
Plumergat,13.1,11.3,3905
Pluneret,13.8,11.3,5203
Pluvigner,12.8,10.6,7213
Pontivy,13.0,11.3,13122
Pont-Scorff,14.0,11.2,3446
Port-Louis,13.8,12.0,8159
Questembert,12.6,10.8,7250
Quéven,13.8,11.1,8276
Quiberon,12.4,10.5,4828
Riantec,13.4,11.0,5176
Rieux,12.5,10.6,5185
Saint-Avé,14.5,11.9,10354
Saint-Dolay,12.7,10.5,2329
Saint-Jean-Brévelay,11.9,10.2,2562
Saint-Nolff,14.3,11.6,3620
Saint-Pierre-Quiberon,13.0,11.1,2101
Sarzeau,13.5,11.7,7562
Séné,14.8,12.1,8631
Sérent,12.0,10.4,2995
Le Sourn,12.7,10.8,2096
Sulniac,12.7,10.9,3367
Surzur,14.7,11.3,4080
Taupont,12.7,11.3,2200
Treffléan,13.1,11.5,2097
Vannes,14.8,12.1,50755
Bono,15.6,12.2,2030
Sainte-Anne-d'Auray,14.1,11.3,2334
Algrange,13.0,9.8,5951
Alsting,14.4,11.2,2570
Amanvillers,15.2,11.4,2200
Amnéville,13.6,10.6,10341
Ars-sur-Moselle,13.0,11.2,4725
Audun-le-Tiche,13.5,10.2,6579
Augny,16.2,12.5,1855
Le Ban-Saint-Martin,17.0,12.4,3995
Behren-lès-Forbach,11.1,9.5,6439
Bertrange,17.0,12.2,2745
Bitche,12.7,9.7,4647
Boulange,13.4,11.1,2480
Boulay-Moselle,13.1,10.9,5442
Bousse,15.9,12.0,3442
Bouzonville,13.5,10.4,3813
Carling,12.8,10.2,3294
Cattenom,17.4,10.8,2651
Château-Salins,12.5,10.5,2250
Châtel-Saint-Germain,16.7,13.2,1780
Clouange,13.2,10.7,3724
Cocheren,12.4,10.2,3422
Corny-sur-Moselle,17.6,12.3,2235
Courcelles-Chaussy,14.6,12.4,2829
Créhange,13.8,10.7,3881
Creutzwald,13.1,10.6,13071
Dabo,13.7,10.8,2550
Dieuze,13.4,10.4,2924
Falck,14.0,10.9,2436
Fameck,13.1,10.3,13857
Farébersviller,11.4,9.6,5445
Faulquemont,13.3,10.8,5350
Florange,13.4,10.4,11067
Folschviller,12.9,10.1,4035
Fontoy,14.1,10.2,2873
Forbach,12.6,10.5,20780
Freyming-Merlebach,12.3,10.1,12917
Gandrange,13.7,10.9,2767
Grosbliederstroff,14.8,11.6,3284
Guénange,13.5,10.6,6996
Hagondange,14.0,10.8,9174
Basse-Ham,14.9,11.5,2226
Ham-sous-Varsberg,13.7,10.9,2656
Hambach,15.1,11.5,2665
Hayange,13.2,10.4,15288
Hettange-Grande,15.9,11.2,7402
Hombourg-Haut,12.7,10.3,6711
L'Hôpital,12.3,10.4,5394
Knutange,12.8,9.7,3185
Koenigsmacker,15.3,11.2,2182
Longeville-lès-Metz,16.0,12.0,3877
Longeville-lès-Saint-Avold,15.3,11.6,3549
Macheren,15.7,11.4,2814
Maizières-lès-Metz,13.3,10.9,10768
Manom,19.1,12.3,2463
Marange-Silvange,14.0,11.0,5606
Marly,18.5,13.3,20684
Metz,14.4,11.7,111289
Mondelange,13.4,10.3,5776
Montigny-lès-Metz,14.2,11.6,20883
Montois-la-Montagne,14.7,10.7,2431
Morhange,12.8,11.0,3365
Morsbach,13.3,10.5,2695
Moulins-lès-Metz,14.8,12.0,4882
Moyeuvre-Grande,12.9,10.2,7633
Neufchef,15.1,11.5,2520
Nilvange,13.4,10.3,4697
Petite-Rosselle,13.3,10.5,6192
Phalsbourg,15.0,11.2,4641
Plappeville,23.6,16.2,1955
Porcelette,15.4,11.5,2461
Puttelange-aux-Lacs,13.1,10.9,2974
Réding,14.5,11.0,2411
Rémilly,14.6,11.5,2136
Rohrbach-lès-Bitche,15.7,11.3,2006
Rombas,13.0,10.7,9795
Rouhling,14.9,11.0,2009
Rurange-lès-Thionville,16.6,12.1,2430
Saint-Avold,14.5,11.2,15387
Saint-Julien-lès-Metz,17.3,13.7,2866
Sainte-Marie-aux-Chênes,14.4,11.3,3950
Sarralbe,14.6,11.2,4485
Sarrebourg,13.2,10.5,11442
Sarreguemines,13.9,10.5,20493
Schoeneck,13.7,10.7,2665
Scy-Chazelles,18.0,13.7,2641
Serémange-Erzange,13.8,10.2,4304
Spicheren,15.3,11.6,3127
Stiring-Wendel,11.9,10.1,12248
Talange,12.8,10.2,7407
Terville,14.5,10.8,6552
Théding,13.2,10.6,2518
Thionville,15.3,11.4,39391
Uckange,12.8,9.9,6367
Valmont,14.5,11.7,4053
Vitry-sur-Orne,13.9,10.9,2796
Woippy,12.9,10.7,13145
Woustviller,14.6,10.9,3171
Yutz,13.9,11.0,15601
La Charité-sur-Loire,12.4,11.0,4418
Château-Chinon (Ville),11.7,10.6,1758
Clamecy,11.9,10.1,3896
Cosne-Cours-sur-Loire,14.1,11.0,10042
Coulanges-lès-Nevers,14.4,11.9,3469
Decize,12.3,10.5,5222
Fourchambault,12.1,10.2,4286
Garchizy,12.7,10.1,3496
Guérigny,12.7,11.0,2318
Imphy,12.8,10.8,3287
La Machine,12.2,10.2,3325
Marzy,15.8,12.4,3486
Nevers,12.9,11.1,33323
Pougues-les-Eaux,14.0,12.1,2280
Saint-Éloi,14.6,12.4,2776
Saint-Léger-des-Vignes,12.4,10.6,1912
Saint-Pierre-le-Moûtier,12.3,10.8,1805
Varennes-Vauzelles,13.3,11.4,9017
Abscon,12.4,11.0,4264
Allennes-les-Marais,15.7,12.6,3417
Aniche,12.3,10.1,10259
Villeneuve-d'Ascq,16.0,13.2,58918
Annoeullin,15.1,11.9,9463
Anor,12.0,10.2,3332
Anzin,11.5,10.2,12904
Arleux,13.8,10.9,2828
Armbouts-Cappel,15.4,11.7,2345
Armentières,12.4,10.9,24569
Attiches,17.3,13.8,2208
Auberchicourt,12.7,10.9,4107
Auby,12.4,10.4,7321
Aulnoy-lez-Valenciennes,13.2,11.1,6700
Aulnoye-Aymeries,12.8,10.3,8710
Avelin,18.5,14.9,2608
Avesnelles,12.6,11.4,2330
Avesnes-sur-Helpe,11.7,10.4,4455
Avesnes-les-Aubert,12.1,10.7,3506
Bachant,12.7,9.9,2255
Bailleul,14.0,11.3,14602
Baisieux,17.1,13.7,4599
La Bassée,12.9,11.1,6285
Bauvin,13.4,11.6,5164
Bavay,12.8,11.3,3283
Beauvois-en-Cambrésis,12.3,10.4,2100
Bergues,14.8,11.8,3571
Berlaimont,13.6,11.1,2909
Bersée,18.7,14.1,2200
Bertry,12.7,10.7,2178
Beuvrages,11.9,10.3,6519
Beuvry-la-Forêt,15.9,13.6,2660
Blaringhem,13.1,11.1,2120
Boeschepe,14.2,12.0,2132
Bondues,27.0,16.7,9535
Bouchain,13.7,10.9,3909
Bourbourg,13.4,10.9,6798
Bousbecque,15.6,11.6,4729
Boussois,13.1,10.2,3142
Bray-Dunes,15.1,10.8,4541
Bruay-sur-l'Escaut,12.2,10.5,11698
Busigny,12.8,10.1,2435
Cambrai,13.5,11.1,31872
Camphin-en-Pévèle,23.5,14.4,2146
Cappelle-en-Pévèle,17.5,14.4,2262
Cappelle-la-Grande,13.9,10.4,7828
Cassel,15.7,12.8,2182
Le Cateau-Cambrésis,11.3,9.9,6672
Caudry,12.1,10.5,14522
La Chapelle-d'Armentières,14.9,12.2,8138
Chéreng,20.2,15.9,2934
Comines,14.3,11.6,12020
Condé-sur-l'Escaut,11.8,10.2,9473
Coudekerque-Branche,13.6,10.7,21434
Courchelettes,14.6,10.8,2641
Cousolre,13.9,11.4,2225
Coutiches,18.5,13.0,2920
Crespin,12.8,10.5,4838
Croix,16.9,13.0,20750
Cuincy,14.7,12.0,6474
Cysoing,18.6,13.7,4862
Dechy,12.0,10.4,5033
Denain,11.5,9.7,19821
Douai,13.5,11.5,37958
Douchy-les-Mines,12.6,10.3,10626
Dunkerque,14.3,11.3,87055
Emmerin,15.8,13.0,3145
Ennevelin,18.3,14.8,2108
Erquinghem-Lys,13.9,11.4,4809
Escaudain,12.0,10.0,8995
Escaudoeuvres,14.1,11.0,3264
Escautpont,11.8,10.1,4148
Esquelbecq,15.0,11.8,1968
Estaires,13.4,11.3,6072
Faches-Thumesnil,14.7,12.6,17225
Famars,17.4,13.9,2486
Faumont,17.7,13.4,2073
Feignies,13.4,10.8,6966
Fenain,13.1,11.1,5332
Ferrière-la-Grande,15.4,10.7,5177
Flers-en-Escrebieux,12.6,11.0,5735
Flines-lez-Raches,14.9,12.3,5459
Fourmies,11.7,10.4,12052
Fournes-en-Weppes,19.5,15.0,2134
Frelinghien,15.1,13.2,2385
Fresnes-sur-Escaut,12.8,10.3,7473
Fretin,15.9,14.6,3264
Genech,18.2,14.2,2329
Ghyvelde,15.1,11.3,4041
Godewaersvelde,15.1,12.4,1911
Gommegnies,15.7,12.2,2241
Gondecourt,17.2,13.6,3862
La Gorgue,13.3,11.0,5653
Grande-Synthe,12.7,10.0,21323
Grand-Fort-Philippe,14.7,11.0,5152
Gravelines,16.6,12.0,11159
Guesnain,13.0,10.6,4629
Hallennes-lez-Haubourdin,14.8,12.2,3955
Halluin,14.2,11.4,20291
Hasnon,14.6,12.2,3642
Haspres,12.8,11.1,2770
Haubourdin,13.1,11.5,14007
Haulchin,13.3,11.1,2278
Hautmont,11.9,10.4,14118
Hazebrouck,13.2,11.0,21104
Hem,17.1,13.2,18888
Hergnies,13.8,11.8,4233
Hérin,12.7,11.3,3937
Herlies,16.9,12.9,2243
Hondschoote,14.0,10.9,3904
Hornaing,13.1,11.2,3540
Houplin-Ancoisne,16.0,13.4,3407
Houplines,13.3,11.5,7731
Hoymille,16.4,12.2,3177
Iwuy,12.4,10.3,3335
Jeumont,13.3,10.4,9626
Lallaing,12.7,10.7,6118
Lambersart,18.8,14.8,27890
Lambres-lez-Douai,14.7,12.1,4875
Landas,16.4,13.0,2360
Landrecies,11.9,10.3,3410
Lecelles,16.2,13.1,2751
Leers,15.0,12.2,9399
Leffrinckoucke,16.0,12.5,4222
Lesquin,16.0,12.9,7154
Leval,13.2,10.2,2662
Lewarde,13.4,11.1,2469
Lezennes,15.5,13.1,3103
Lille,15.0,12.8,225680
Linselles,16.4,12.6,8035
Lompret,23.2,16.2,2202
La Longueville,13.9,11.9,2070
Loon-Plage,15.3,11.0,6150
Loos,12.4,11.4,20317
Louvroil,11.8,10.0,6518
Lys-lez-Lannoy,13.8,11.8,13329
La Madeleine,16.5,13.9,21956
Maing,14.8,12.0,3875
Marchiennes,15.6,12.4,4572
Marcq-en-Baroeul,21.9,15.5,38768
Marly,13.9,11.5,20684
Marpent,12.8,10.1,2695
Marquette-lez-Lille,15.1,12.8,9902
Masnières,13.3,10.6,2604
Masny,12.8,10.3,4022
Maubeuge,12.6,10.7,29128
Mérignies,32.4,16.7,2820
Merville,13.3,10.9,14633
Méteren,15.0,12.2,2121
Monchecourt,13.0,10.7,2538
Mons-en-Baroeul,13.6,12.1,20536
Mons-en-Pévèle,17.7,13.1,2085
Montigny-en-Ostrevent,13.6,10.9,4478
Morbecque,15.3,12.3,2377
Mouvaux,21.1,14.8,12956
Neuville-en-Ferrain,15.1,12.0,10033
Neuville-Saint-Rémy,12.9,10.6,3671
Neuville-sur-Escaut,12.4,10.4,2688
Nieppe,14.8,12.2,7202
Nomain,17.0,13.2,2425
Onnaing,13.0,11.1,8547
Orchies,14.1,11.8,8105
Ostricourt,12.4,11.0,5386
Pecquencourt,12.8,10.7,5831
Pérenchies,14.4,11.9,7997
Petite-Forêt,12.9,11.0,4809
Phalempin,16.5,13.8,4358
Poix-du-Nord,12.6,10.8,2166
Pont-à-Marcq,16.0,12.9,2699
Pont-sur-Sambre,13.5,10.5,2466
Prémesques,18.5,14.4,2150
Prouvy,13.0,11.1,2160
Proville,14.9,11.3,3101
Provin,14.0,11.9,4035
Quarouble,13.7,11.3,3015
Le Quesnoy,13.1,10.7,4644
Quesnoy-sur-Deûle,15.4,12.8,6521
Quiévrechain,12.1,10.0,6131
Râches,14.1,11.3,2614
Raillencourt-Sainte-Olle,12.8,11.3,2269
Raimbeaucourt,15.0,12.1,3820
Raismes,12.2,10.7,12517
Recquignies,12.8,10.4,2327
Renescure,13.4,11.1,2085
Rexpoëde,14.2,10.8,2034
Roeulx,12.5,10.5,3684
Ronchin,14.4,12.3,18217
Roncq,16.5,12.6,13344
Roost-Warendin,13.6,11.2,6080
Roubaix,12.2,10.9,93657
Rousies,14.1,11.6,3978
Sainghin-en-Mélantois,20.8,15.9,2507
Sainghin-en-Weppes,15.2,12.5,5546
Sains-du-Nord,11.8,10.4,2864
Saint-Amand-les-Eaux,13.5,11.7,16153
Saint-André-lez-Lille,15.3,12.9,11728
Saint-Saulve,15.1,12.2,10878
Salomé,13.7,11.7,2933
Santes,17.1,13.2,5802
Saultain,15.3,12.5,2156
Seclin,14.7,12.2,12063
La Sentinelle,13.5,10.7,3166
Sequedin,15.5,12.9,3685
Sin-le-Noble,12.6,10.9,15446
Solesmes,12.0,10.4,5403
Somain,12.6,10.8,12676
Steenvoorde,14.5,11.8,3904
Steenwerck,13.5,12.2,3346
Templemars,15.3,12.9,3055
Thiant,13.4,11.6,2629
Thumeries,15.8,12.6,3845
Toufflers,15.4,12.9,3881
Tourcoing,12.7,11.1,93839
Trélon,11.9,9.8,2618
Trith-Saint-Léger,12.5,11.0,6112
Valenciennes,14.7,12.2,42266
Verlinghem,20.9,15.2,2305
Vieux-Berquin,15.9,11.9,2391
